Start processing data...
Data read
here
and here
barrowton : 149
barsena : 40
barters : 14
barth : 449
barth's : 108
barthogan : 26
basalt : 6
base : 36
baseborn : 23
based : 9
basket : 8
baskets : 4
bass : 24
bastard : 730
bastard's : 46
bastards : 297
bastardy : 27
bath : 3
bathe : 40
bathhouse : 18
bathing : 8
battered : 57
battle : 1599
battleborn : 20
battled : 20
battlefield : 30
battlements : 35
battles : 65
battling : 24
bawdy : 1
bay : 126
bayard : 41
bazaars : 1
bc : 20
be : 4288
beach : 21
beacon : 8
beak : 21
bean : 8
bear : 178
beard : 286
bearded : 26
beardless : 16
beards : 4
bearer : 3
bearing : 8
bears : 34
bearskin : 3
beast : 14
beasts : 16
beat : 117
beaten : 57
beatific : 9
beating : 4
beatings : 1
beautiful : 158
beautifully : 9
beauty : 103
becalmed : 2
became : 1430
because : 841
becca : 32
beck : 8
become : 565
becomes : 139
becoming : 202
bed : 204
bedchamber : 37
bedded : 27
bedding : 84
bedmaid : 24
bedmaids : 1
bedmate : 44
bedridden : 30
bedroom : 49
beds : 13
bedwarmer : 1
bedwyck : 72
bee : 1
beef : 8
beekeeper : 16
been : 2692
beesbury : 43
beetled : 8
befallen : 8
befits : 8
before : 1644
beforehand : 8
befriended : 64
befriends : 11
befuddled : 9
beg : 18
began : 806
beggar : 17
beggar's : 9
beggars : 23
begged : 80
begging : 8
begin : 34
beginning : 119
beginnings : 8
begins : 166
begotten : 8
begrudgingly : 1
begs : 9
begun : 8
behalf : 104
behavior : 92
behead : 36
beheaded : 33
beheading : 2
beheadings : 8
behest : 21
behind : 273
behold : 4
being : 885
belandra : 24
belaquo : 41
beldecar : 8
beldecar's : 8
belgrave : 62
belief : 33
beliefs : 30
believable : 8
believe : 188
believed : 343
believer : 8
believers : 9
believes : 309
believing : 157
belis : 44
bell : 1
bella : 40
bella's : 8
bellanora : 16
bellegere : 132
bellegere's : 8
bellena : 16
bellenora : 18
bellied : 9
belligerent : 17
bellonara : 40
bells : 55
belly : 79
bellyband : 8
belmore : 24
belong : 28
belonged : 23
belonging : 18
belongings : 16
beloved : 27
below : 75
belt : 16
belts : 9
belwas : 280
belwas's : 8
ben : 368
ben's : 16
bend : 63
bends : 17
beneath : 242
benedar : 80
benedict : 33
benefit : 16
benerro : 8
benevolent : 20
benfred : 146
benfred's : 16
benfrey : 37
benifer : 36
benjen : 347
benjen's : 16
benjens : 8
benjicot : 36
bennard : 7
bennarion : 7
bennarion's : 7
bennet : 14
bennis : 120
bent : 113
beony : 1
beqqo : 21
berates : 1
bereft : 8
beren : 36
beren's : 7
berena : 43
beric : 619
beric's : 67
bernarr : 63
beron : 59
bertram : 19
beseeched : 20
beseeching : 20
beset : 15
beside : 125
besides : 19
besiege : 8
besieged : 54
besiegers : 57
besieges : 16
bess : 6
bessa : 19
best : 176
bested : 2
bestial : 2
bestowed : 58
bests : 15
bet : 8
beth : 51
betha : 40
bethany : 187
bethany's : 42
betharios : 28
betharios's : 5
betray : 49
betrayal : 19
betrayals : 14
betrayed : 95
betrayers : 55
betraying : 1
betroth : 32
betrothal : 175
betrothals : 1
betrothed : 390
betrothing : 10
better : 231
between : 804
beyond : 220
bhakaz : 20
bharbo : 5
bid : 8
biddable : 10
bidding : 30
big : 254
bigger : 18
biggest : 45
bind : 10
biography : 16
birth : 1074
birthday : 1
birthed : 22
birthmark : 3
birthright : 75
births : 75
bisexual : 8
bit : 19
bitch : 45
bite : 22
biter : 134
bites : 17
biting : 4
bits : 9
bitten : 53
bitter : 121
bitterbridge : 86
bitterest : 14
bitterly : 30
bittersteel : 101
bitterweed : 18
black : 2063
black's : 39
blackbird : 38
blackbottom : 1
blackcrown : 8
blacken : 20
blackened : 1
blackfish : 27
blackfish's : 15
blackfyre : 1282
blackfyre's : 23
blackfyres : 60
blackhair : 16
blackhaven : 115
blackheads : 1
blackmail : 1
blacks : 152
blacksmith : 8
blacksmith's : 8
blacksword : 8
blackthorn : 8
blackthumb : 16
blacktyde : 83
blackwater : 363
blackwood : 314
blackwoods : 70
blade : 85
blades : 23
blame : 49
blamed : 71
blames : 33
blaming : 18
blane : 20
blanket : 20
blanketing : 22
blazes : 8
blazing : 9
blazon : 21
bleeding : 22
bless : 63
blessed : 56
blesses : 84
blessing : 28
blessings : 22
blind : 107
blinded : 1
blindness : 8
blizzard : 23
bloated : 38
block : 8
blockade : 8
blockading : 20
blond : 32
blood : 490
bloodbeard : 37
bloodborn : 20
blooded : 2
bloodiest : 8
bloodmage : 1
bloodmages : 8
bloodprice : 7
bloodraven : 91
bloodraven's : 69
bloodrider : 19
bloodriders : 79
bloodroyal : 8
bloodshed : 35
bloodstone : 16
bloody : 167
bloom : 8
blooming : 17
blot : 1
blotch : 1
blount : 28
blow : 26
blowing : 16
blows : 31
blue : 198
blues : 18
bluetooth : 15
bluff : 8
bluffed : 8
blunt : 3
blushing : 10
boar : 59
board : 1
boards : 18
boars : 21
boast : 8
boasted : 8
boasting : 26
boasts : 1
boat : 34
boats : 18
bobono : 8
bodger : 6
bodied : 8
bodies : 210
body : 291
bodyguard : 29
bodyguards : 8
boil : 44
boiled : 9
boiling : 18
boils : 1
boisterous : 2
bold : 113
bolder : 1
boldly : 21
boldness : 8
bolt : 6
bolton : 463
bolton's : 47
boltons : 68
bond : 21
bonded : 68
bondsman : 18
bone : 35
bonebreaker : 17
bones : 95
boneway : 84
bonifer : 66
bonifer's : 3
book : 96
bookish : 31
books : 74
boon : 22
boots : 12
borcas : 6
border : 14
bordered : 8
borders : 20
bore : 37
bored : 19
boremund : 34
born : 1042
borne : 2
boros : 91
boros's : 3
borrell : 8
borroq : 27
borroq's : 3
borros : 178
borros's : 108
borrowed : 24
bors : 4
bosom : 8
both : 842
bother : 18
bothered : 8
botley : 129
botley's : 8
bottom : 62
bottom's : 1
bottomless : 6
bought : 36
boulders : 1
bound : 52
bounds : 39
bounties : 40
bout : 16
bouts : 8
bow : 49
bowed : 48
bowels : 10
bowen : 91
bowl : 1
bowlegged : 1
bowman : 9
bowmen : 5
bows : 8
box : 8
boy : 646
boy's : 79
boyhood : 1
boyish : 8
boys : 231
braavos : 1942
braavosi : 659
braavosian : 18
bracelet : 8
bracken : 360
brackens : 54
brackish : 36
bradamar : 2
braid : 8
braids : 7
brain : 21
bran : 399
bran's : 36
branch : 34
branched : 1
branches : 68
branded : 8
brandished : 8
brandon : 316
brandon's : 57
branston : 1
brass : 18
brave : 194
bravely : 14
braver : 8
bravery : 36
bravo : 18
bravos : 108
brawler : 21
brax : 47
brazen : 16
brazenly : 8
brea : 4
breach : 18
bread : 26
break : 87
breaking : 100
breaks : 34
breakspear : 36
breakwind : 8
breast : 82
breasted : 8
breastplate : 61
breasts : 52
breath : 37
breathing : 1
bred : 8
breeches : 9
brella : 4
brenett : 4
brewer : 8
brewing : 14
briar : 1
briar's : 1
bribe : 9
bribed : 29
bride : 119
bridge : 96
bridges : 56
